dir,dist1,dist2
1WM1bot.pdb_1WM1cap.pdb,7.64291835623,4.62586532446
1WM1bot.pdb_1WM1cap.pdb,28.0766301041,11.1135550568
1WM1bot.pdb_1WM1cap.pdb,23.2158553148,10.9362611984
1WM1bot.pdb_1WM1cap.pdb,7.44249427276,4.31567306454
1WM1bot.pdb_1WM1cap.pdb,21.1393673037,11.1691655463
1WM1bot.pdb_1WM1cap.pdb,17.3575943322,10.59045745
1WM1bot.pdb_1WM1cap.pdb,22.9399155186,7.52732734774
1WM1bot.pdb_1WM1cap.pdb,14.2037216954,7.89547022032
1WM1bot.pdb_1WM1cap.pdb,13.2231766607,11.0438226625
1WM1bot.pdb_1WM1cap.pdb,25.3044498261,11.3256073568
1WM1bot.pdb_1WM1cap.pdb,19.9667488841,11.2587632092
1WM1bot.pdb_1WM1cap.pdb,21.0330952073,10.1762565809
1WM1bot.pdb_1WM1cap.pdb,10.475010883,8.25672877113
1WM1bot.pdb_1WM1cap.pdb,25.5811368981,10.9539050115
1WM1bot.pdb_1WM1cap.pdb,18.0972079062,9.87763134562
1WM1bot.pdb_1WM1cap.pdb,10.6300996703,10.6610493855
1WM1bot.pdb_1WM1cap.pdb,17.7197323625,5.5522445011
1WM1bot.pdb_1WM1cap.pdb,13.8966380467,10.1343430473
1WM1bot.pdb_1WM1cap.pdb,25.8552784746,10.1827171718
1WM1bot.pdb_1WM1cap.pdb,19.9464770323,7.08944349015
1WM1bot.pdb_1WM1cap.pdb,19.2172557354,9.38760432698
1WM1bot.pdb_1WM1cap.pdb,23.4689631002,10.3552754188
1WM1bot.pdb_1WM1cap.pdb,22.0365187133,11.1289085269
1WM1bot.pdb_1WM1cap.pdb,32.9043130608,10.8705533898
1WM1bot.pdb_1WM1cap.pdb,18.5492091745,10.957167791
1WM1bot.pdb_1WM1cap.pdb,24.2863415936,9.45316819907
1WM1bot.pdb_1WM1cap.pdb,24.9589206698,11.3535794356
1WM1bot.pdb_1WM1cap.pdb,23.5104219231,11.2940426774
1WM1bot.pdb_1WM1cap.pdb,12.6344559044,7.70468688527
1WM1bot.pdb_1WM1cap.pdb,20.5209239071,5.36581969507
1WM1bot.pdb_1WM1cap.pdb,15.6477031541,3.99806365632
1WM1bot.pdb_1WM1cap.pdb,11.7940395963,11.3198083906
1WM1bot.pdb_1WM1cap.pdb,32.2288700857,11.1705167741
1WM1bot.pdb_1WM1cap.pdb,30.896796889,8.0462066839
1WM1bot.pdb_1WM1cap.pdb,13.0173151226,8.54244280051
1WM1bot.pdb_1WM1cap.pdb,24.4419829597,7.30396700431
1WM1bot.pdb_1WM1cap.pdb,22.4023960549,8.52589561278
1WM1bot.pdb_1WM1cap.pdb,19.7868243789,8.89375752986
1WM1bot.pdb_1WM1cap.pdb,25.8372954854,10.5654600468
1WM1bot.pdb_1WM1cap.pdb,22.323347912,10.2009125082
1WM1bot.pdb_1WM1cap.pdb,16.34359994,7.02492910996
1WM1bot.pdb_1WM1cap.pdb,26.9750916773,7.28676636101
1WM1bot.pdb_1WM1cap.pdb,18.2516385566,10.6183676712
1WM1bot.pdb_1WM1cap.pdb,7.84817462854,7.12796478667
1WM1bot.pdb_1WM1cap.pdb,8.2352832981,4.71251832888
